Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
2024-02-17T12:00:32,0.01,0.0,9.81,0.5,-0.1,0.0,32,-60,48
2024-02-17T12:00:33,0.02,-0.02,9.81,0.4,0.0,-0.1,30,-59,47
2024-02-17T12:00:34,0.01,-0.01,9.81,0.5,0.1,-0.2,31,-58,46
2024-02-17T12:00:35,0.02,0.0,9.81,0.4,0.2,0.2,32,-57,50
2024-02-17T12:00:36,0.01,-0.02,9.81,0.5,-0.1,0.1,30,-60,49
2024-02-17T12:00:37,0.02,-0.01,9.81,0.4,0.0,0.0,31,-59,48
2024-02-17T12:00:38,0.01,0.0,9.81,0.5,0.1,-0.1,32,-58,47
2024-02-17T12:00:39,0.02,-0.02,9.81,0.4,0.2,-0.2,30,-57,46
2024-02-17T12:00:40,0.01,-0.01,9.81,0.5,-0.1,0.2,31,-60,50
2024-02-17T12:00:41,0.02,0.0,9.81,0.4,0.0,0.1,32,-59,49
2024-02-17T12:00:42,0.01,-0.02,9.81,0.5,0.1,0.0,30,-58,48
2024-02-17T12:00:43,0.02,-0.01,9.81,0.4,0.2,-0.1,31,-57,47
2024-02-17T12:00:44,0.01,0.0,9.81,0.5,-0.1,-0.2,32,-60,46
2024-02-17T12:00:45,0.02,-0.02,9.81,0.4,0.0,0.2,30,-59,50
2024-02-17T12:00:46,0.01,-0.01,9.81,0.5,0.1,0.1,31,-58,49
2024-02-17T12:00:47,0.02,0.0,9.81,0.4,0.2,0.0,32,-57,48
2024-02-17T12:00:48,0.01,-0.02,9.81,0.5,-0.1,-0.1,30,-60,47
2024-02-17T12:00:49,0.02,-0.01,9.81,0.4,0.0,-0.2,31,-59,46
2024-02-17T12:00:50,0.01,0.0,9.81,0.5,0.1,0.2,32,-58,50
2024-02-17T12:00:51,0.02,-0.02,9.81,0.4,0.2,0.1,30,-57,49
2024-02-17T12:00:52,0.01,-0.01,9.81,0.5,-0.1,0.0,31,-60,48
2024-02-17T12:00:53,0.02,0.0,9.81,0.4,0.0,-0.1,32,-59,47
2024-02-17T12:00:54,0.01,-0.02,9.81,0.5,0.1,-0.2,30,-58,46
2024-02-17T12:00:55,0.02,-0.01,9.81,0.4,0.2,0.2,31,-57,50
2024-02-17T12:00:56,0.01,0.0,9.81,0.5,-0.1,0.1,32,-60,49
2024-02-17T12:00:57,0.02,-0.02,9.81,0.4,0.0,0.0,30,-59,48
2024-02-17T12:00:58,0.01,-0.01,9.81,0.5,0.1,-0.1,31,-58,47
2024-02-17T12:00:59,0.02,0.0,9.81,0.4,0.2,-0.2,32,-57,46
2024-02-17T12:01:00,0.01,-0.02,9.81,0.5,-0.1,0.2,30,-60,50
2024-02-17T12:01:01,0.02,-0.01,9.81,0.4,0.0,0.1,31,-59,49
2024-02-17T12:01:02,0.01,0.0,9.81,0.5,0.1,0.0,32,-58,48
2024-02-17T12:01:03,0.02,-0.02,9.81,0.4,0.2,-0.1,30,-57,47
2024-02-17T12:01:04,0.01,-0.01,9.81,0.5,-0.1,-0.2,31,-60,46
2024-02-17T12:01:05,0.02,0.0,9.81,0.4,0.0,0.2,32,-59,50
2024-02-17T12:01:06,0.01,-0.02,9.81,0.5,0.1,0.1,30,-58,49
2024-02-17T12:01:07,0.02,-0.01,9.81,0.4,0.2,0.0,31,-57,48
2024-02-17T12:01:08,0.01,0.0,9.81,0.5,-0.1,-0.1,32,-60,47
2024-02-17T12:01:09,0.02,-0.02,9.81,0.4,0.0,-0.2,30,-59,46
2024-02-17T12:01:10,0.01,-0.01,9.81,0.5,0.1,0.2,31,-58,50
2024-02-17T12:01:11,0.02,0.0,9.81,0.4,0.2,0.1,32,-57,49
2024-02-17T12:01:12,0.01,-0.02,9.81,0.5,-0.1,0.0,30,-60,48
2024-02-17T12:01:13,0.02,-0.01,9.81,0.4,0.0,-0.1,31,-59,47
2024-02-17T12:01:14,0.01,0.0,9.81,0.5,0.1,-0.2,32,-58,46
2024-02-17T12:01:15,0.02,-0.02,9.81,0.4,0.2,0.2,30,-57,50
2024-02-17T12:01:16,0.01,-0.01,9.81,0.5,-0.1,0.1,31,-60,49
2024-02-17T12:01:17,0.02,0.0,9.81,0.4,0.0,0.0,32,-59,48
2024-02-17T12:01:18,0.01,-0.02,9.81,0.5,0.1,-0.1,30,-58,47
2024-02-17T12:01:19,0.02,-0.01,9.81,0.4,0.2,-0.2,31,-57,46
2024-02-17T12:01:20,0.01,0.0,9.81,0.5,-0.1,0.2,32,-60,50
2024-02-17T12:01:21,0.02,-0.02,9.81,0.4,0.0,0.1,30,-59,49
2024-02-17T12:01:22,0.01,-0.01,9.81,0.5,0.1,0.0,31,-58,48
2024-02-17T12:01:23,0.02,0.0,9.81,0.4,0.2,-0.1,32,-57,47
2024-02-17T12:01:24,0.01,-0.02,9.81,0.5,-0.1,-0.2,30,-60,46
2024-02-17T12:01:25,0.02,-0.01,9.81,0.4,0.0,0.2,31,-59,50
2024-02-17T12:01:26,0.01,0.0,9.81,0.5,0.1,0.1,32,-58,49
2024-02-17T12:01:27,0.02,-0.02,9.81,0.4,0.2,0.0,30,-57,48
2024-02-17T12:01:28,0.01,-0.01,9.81,0.5,-0.1,-0.1,31,-60,47
2024-02-17T12:01:29,0.02,0.0,9.81,0.4,0.0,-0.2,32,-59,46
2024-02-17T12:01:30,0.01,-0.02,9.81,0.5,0.1,0.2,30,-58,50
2024-02-17T12:01:31,0.02,-0.01,9.81,0.4,0.2,0.1,31,-57,49
2024-02-17T12:01:32,0.01,0.0,9.81,0.5,-0.1,0.0,32,-60,48
2024-02-17T12:01:33,0.02,-0.02,9.81,0.4,0.0,-0.1,30,-59,47
2024-02-17T12:01:34,0.01,-0.01,9.81,0.5,0.1,-0.2,31,-58,46
2024-02-17T12:01:35,0.02,0.0,9.81,0.4,0.2,0.2,32,-57,50
2024-02-17T12:01:36,0.01,-0.02,9.81,0.5,-0.1,0.1,30,-60,49
2024-02-17T12:01:37,0.02,-0.01,9.81,0.4,0.0,0.0,31,-59,48
2024-02-17T12:01:38,0.01,0.0,9.81,0.5,0.1,-0.1,32,-58,47
2024-02-17T12:01:39,0.02,-0.02,9.81,0.4,0.2,-0.2,30,-57,46
2024-02-17T12:01:40,0.01,-0.01,9.81,0.5,-0.1,0.2,31,-60,50
2024-02-17T12:01:41,0.02,0.0,9.81,0.4,0.0,0.1,32,-59,49
2024-02-17T12:01:42,0.01,-0.02,9.81,0.5,0.1,0.0,30,-58,48
2024-02-17T12:01:43,0.02,-0.01,9.81,0.4,0.2,-0.1,31,-57,47
2024-02-17T12:01:44,0.01,0.0,9.81,0.5,-0.1,-0.2,32,-60,46
2024-02-17T12:01:45,0.02,-0.02,9.81,0.4,0.0,0.2,30,-59,50
2024-02-17T12:01:46,0.01,-0.01,9.81,0.5,0.1,0.1,31,-58,49
2024-02-17T12:01:47,0.02,0.0,9.81,0.4,0.2,0.0,32,-57,48
2024-02-17T12:01:48,0.01,-0.02,9.81,0.5,-0.1,-0.1,30,-60,47
2024-02-17T12:01:49,0.02,-0.01,9.81,0.4,0.0,-0.2,31,-59,46
2024-02-17T12:01:50,0.01,0.0,9.81,0.5,0.1,0.2,32,-58,50
2024-02-17T12:01:51,0.02,-0.02,9.81,0.4,0.2,0.1,30,-57,49
2024-02-17T12:01:52,0.01,-0.01,9.81,0.5,-0.1,0.0,31,-60,48
2024-02-17T12:01:53,0.02,0.0,9.81,0.4,0.0,-0.1,32,-59,47
2024-02-17T12:01:54,0.01,-0.02,9.81,0.5,0.1,-0.2,30,-58,46
2024-02-17T12:01:55,0.02,-0.01,9.81,0.4,0.2,0.2,31,-57,50
2024-02-17T12:01:56,0.01,0.0,9.81,0.5,-0.1,0.1,32,-60,49
2024-02-17T12:01:57,0.02,-0.02,9.81,0.4,0.0,0.0,30,-59,48
2024-02-17T12:01:58,0.01,-0.01,9.81,0.5,0.1,-0.1,31,-58,47
2024-02-17T12:01:59,0.02,0.0,9.81,0.4,0.2,-0.2,32,-57,46
